number_episode,episode,link
79,79. Mes endroits préférés à Paris ,
78,78. Conversation à Athènes ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38831427/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-15%2F4f7af59339df89d103e5b580172e93d2.m4a
77,77. Comprendre la crise économique en Grèce ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38806470/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-15%2Fb752d59d96141518002c5e837078dbca.m4a
76,76. Comment le français a-t-il été influencé par le grec? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38752037/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-14%2Fdf9ecf43b8983a979faa5c8653b09483.m4a
75,75. Histoire de la Grèce : de l'Empire Romain à la dictature,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38700650/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-12%2Fd95624d5f1af3c95af4a47f2f2d08021.m4a
74,74. Comment être heureux selon Aristote? ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38626208/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-11%2Fd8b35dd4f71e222da9b2c5f84af0f230.m4a
73,73. Records de températures et incendies,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38572628/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-10%2F021e7ffabef41a087a7e2d9159735688.m4a
72,72. Les Jeux Olympiques : de la Grèce Antique à Tokyo 2021,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38510135/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-09%2Fd5394d9a2475bd9f6a074d0230e89033.m4a
71,71. Ballade à Paris avec Claude Monet ,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38339775/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-08-05%2F2ca735a9dfb0feed4e95bfaac27e53c4.m4a
70,70. A la découverte du musée Carnavalet - Histoire de Paris,https://anchor.fm/s//anchor.fm/s/41605270/podcast/play/38076350/https%3A%2F%2Fd3ctxlq1ktw2nl.cloudfront.net%2Fstaging%2F2021-07-30%2F71ceec8f7ab1941bed310896d40a8296.m4a
